CustomerId,PostedOn
1157560,2/1/2020 0:01
1191514,2/1/2020 0:01
353380,2/1/2020 0:03
511527,2/1/2020 0:03
511527,2/1/2020 0:04
1154176,2/1/2020 0:05
853367,2/1/2020 0:11
1042617,2/1/2020 0:21
322261,2/1/2020 0:24
897622,2/1/2020 0:25
1051526,2/1/2020 0:26
1163663,2/1/2020 0:27
1117926,2/1/2020 0:27
1191837,2/1/2020 0:27
1191837,2/1/2020 0:27
354177,2/1/2020 0:29
354177,2/1/2020 0:29
1154176,2/1/2020 0:30
951037,2/1/2020 0:31
951037,2/1/2020 0:31
1015690,2/1/2020 0:32
821104,2/1/2020 0:34
1154176,2/1/2020 0:35
897622,2/1/2020 0:35
1175726,2/1/2020 0:37
1191363,2/1/2020 0:39
526828,2/1/2020 0:42
419205,2/1/2020 0:42
419205,2/1/2020 0:42
419205,2/1/2020 0:42
419205,2/1/2020 0:42
540054,2/1/2020 0:42
1015690,2/1/2020 0:43
1178158,2/1/2020 0:43
1178199,2/1/2020 0:47
1178158,2/1/2020 0:47
1153304,2/1/2020 0:48
1139611,2/1/2020 0:50
1139611,2/1/2020 0:50
1139611,2/1/2020 0:50
1139611,2/1/2020 0:50
1139611,2/1/2020 0:50
1139611,2/1/2020 0:50
1180007,2/1/2020 0:54
185271,2/1/2020 0:56
1191894,2/1/2020 0:56
81631,2/1/2020 0:58
185271,2/1/2020 1:02
1191906,2/1/2020 1:02
1158450,2/1/2020 1:03
699148,2/1/2020 1:05
604464,2/1/2020 1:06
1154894,2/1/2020 1:11
774648,2/1/2020 1:23
1177405,2/1/2020 1:26
840014,2/1/2020 1:27
849132,2/1/2020 1:29
898045,2/1/2020 1:31
1124532,2/1/2020 1:33
1124532,2/1/2020 1:33
1042589,2/1/2020 1:40
537495,2/1/2020 1:43
537495,2/1/2020 1:43
357975,2/1/2020 1:43
978397,2/1/2020 1:43
185271,2/1/2020 1:43
1166244,2/1/2020 1:43
845764,2/1/2020 1:44
226743,2/1/2020 1:45
